describle,movie_name,movie_num,star,value
人生中应该拥有这样的一段豁然开朗。,心灵捕手,85,8.8,405675人评价
昔日翩翩少年，今日大腹便便。,禁闭岛,86,8.8,541503人评价
小清新的故事里注入了大历史的情怀。,布达佩斯大饭店,87,8.8,504556人评价
绝对意义上的美轮美奂。,阿凡达,88,8.7,792875人评价
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,入殓师,89,8.8,403348人评价
人与自然的战争史诗。,幽灵公主,90,8.9,338375人评价
约翰尼·德普的独角戏。,加勒比海盗,91,8.7,523129人评价
大时代中的人生，小人物的悲喜。,摩登时代,92,9.3,150479人评价
最不可能的那个人永远是最可能的。,致命ID,93,8.7,458123人评价
每个人心中都有一座断背山。,断背山,94,8.7,451325人评价
一场华丽的意淫。,阳光灿烂的日子,95,8.8,381721人评价
寂寞没有期限。,重庆森林,96,8.7,474606人评价
深入内心的恐怖，出人意料的结局。,第六感,97,8.8,328309人评价
人言可畏。,狩猎,98,9.1,198181人评价
我是一个演员。,喜剧之王,99,8.7,518252人评价
你是我最好的朋友，你是我唯一的朋友 。,玛丽和马克思,100,8.9,291339人评价
年度最佳date movie。,消失的爱人,101,8.7,528551人评价
没有一人完全善，也没有一人完全恶。,告白,102,8.7,469995人评价
那些静得只能听见呼吸的日子里，你明白孤独即生活。,小森林 夏秋篇,103,9.0,228316人评价
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,大鱼,104,8.8,349751人评价
我们都曾经是一一。,一一,105,9.0,211175人评价
,我不是药神,106,9.0,1192284人评价
沉醉在电影的情感和视听氛围中无法自拔。,请以你的名字呼唤我,107,8.8,330790人评价
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,阳光姐妹淘,108,8.8,380535人评价
缘分是个连绵词，最美不过一瞬。,爱在黎明破晓前,109,8.8,329221人评价
百看不厌。 ,射雕英雄传之东成西就,110,8.7,387024人评价
相逢只要一瞬间，等待却像是一辈子。,甜蜜蜜,111,8.8,308873人评价
少女情怀总是诗。,侧耳倾听,112,8.9,258558人评价
梦的勾结。,红辣椒,113,9.0,212591人评价
和谐的生活离不开摸头与被摸头。,驯龙高手,114,8.7,441874人评价
两张绝世的脸。 ,倩女幽魂,115,8.7,403009人评价
关于连环杀人悬案的集体回忆。,杀人回忆,116,8.8,321337人评价
如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,海蒂和爷爷,117,9.1,146157人评价
穷尽一生，我们要学会的，不过是彼此拥抱。,超脱,118,8.8,258584人评价
恐怖分子的“秋菊打官司”。,恐怖直播,119,8.8,352261人评价
《我是山姆》的《美丽人生》。,7号房的礼物,120,8.8,279664人评价
